Treatment	Replicate	Leaf	Day	Sample_name	PS	CAM	CM	TD	CA	BFC	Bodo	Mites	Rotifers	FatCAM	Spinning_square	Nematodes	Mosquito_larvae	Hairy_flat	Large_bodo
C	1	T	1	C1T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	1	T	1	P1T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	1	T	1	O1T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	1	T	1	N1T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	2	T	1	C2T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	2	T	1	P2T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	2	T	1	O2T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	2	T	1	N2T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	3	T	1	C3T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	3	T	1	P3T1	0	0	5	35	0	0	0	0	0	0	0	0	0	0	0
O	3	T	1	O3T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	3	T	1	N3T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	4	T	1	C4T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	4	T	1	P4T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	4	T	1	O4T1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
N	4	T	1	N4T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	5	T	1	C5T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	5	T	1	P5T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	5	T	1	O5T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	5	T	1	N5T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	6	T	1	C6T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	6	T	1	P6T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	6	T	1	O6T1	0	71	0	0	0	0	0	2	2	0	0	0	0	0	0
N	6	T	1	N6T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	7	T	1	C7T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	7	T	1	P7T1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
O	7	T	1	O7T1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
N	7	T	1	N7T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	8	T	1	C8T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	8	T	1	P8T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	8	T	1	O8T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	8	T	1	N8T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	1	T	2	C1T2	0	11	2	0	25	0	0	0	0	0	0	0	0	0	0
P	1	T	2	P1T2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	1	T	2	O1T2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
N	1	T	2	N1T2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	2	T	2	C2T2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
